scope,category,base_api,description,forms,source
header,1e,int1e_a01gp,<G i|NABLA-RINV CROSS P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:74
header,1e,int1e_cg_a11part,<i|NABLA-RINV |RC j>,optimizer;cart;sph;spinor,include/cint_funcs.h:68
header,1e,int1e_cg_irxp,<i|OVLP |RC CROSS P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:56
header,1e,int1e_cg_sa10nucsp,<RC CROSS SIGMA i|NUC |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:416
header,1e,int1e_cg_sa10sa01,<SIGMA CROSS RC i|SIGMA CROSS NABLA-RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:404
header,1e,int1e_cg_sa10sp,<RC CROSS SIGMA i|OVLP |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:410
header,1e,int1e_drinv,<i|NABLA-RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:260
header,1e,int1e_ggkin,<i|G G P DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:236
header,1e,int1e_ggnuc,<i|G G NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:242
header,1e,int1e_ggovlp,<i|G G |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:230
header,1e,int1e_giao_a11part,<i|NABLA-RINV |R j>,optimizer;cart;sph;spinor,include/cint_funcs.h:62
header,1e,int1e_giao_irjxp,<i|OVLP |R CROSS P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:50
header,1e,int1e_giao_sa10nucsp,<R CROSS SIGMA i|NUC |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:434
header,1e,int1e_giao_sa10sa01,<SIGMA CROSS R i|SIGMA CROSS NABLA-RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:422
header,1e,int1e_giao_sa10sp,<R CROSS SIGMA i|OVLP |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:428
header,1e,int1e_gnuc,<G i|NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:398
header,1e,int1e_govlp,<G i|OVLP |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:392
header,1e,int1e_grids_ip,<NABLA i| 1/r_{grids} |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1112
header,1e,int1e_grids_ipip,<NABLA NABLA i| 1/r_{grids} |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1130
header,1e,int1e_grids_ipvip,<NABLA i| 1/r_{grids} |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1118
header,1e,int1e_grids_spvsp,<SIGMA DOT P i| 1/r_{grids} |SIGMA DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1124
header,1e,int1e_grjxp,<i|G R CROSS P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:248
header,1e,int1e_ia01p,<i|NABLA-RINV |CROSS P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:44
header,1e,int1e_igkin,<G i|OVLP |P DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:80
header,1e,int1e_ignuc,<G i|NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:92
header,1e,int1e_igovlp,<G i|OVLP |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:86
header,1e,int1e_inuc_rcxp,<i|NUC |RC CROSS P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:314
header,1e,int1e_inuc_rxp,<i|NUC |R CROSS P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:320
header,1e,int1e_ipipipiprinv,<NABLA NABLA NABLA NABLA i|RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1106
header,1e,int1e_ipipipnuc,<NABLA NABLA NABLA i|NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1070
header,1e,int1e_ipipiprinv,<NABLA NABLA NABLA i|RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1076
header,1e,int1e_ipipiprinvip,<NABLA NABLA NABLA i|RINV |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1100
header,1e,int1e_ipipkin,<NABLA NABLA i|P DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:830
header,1e,int1e_ipipnuc,<NABLA NABLA i|NUC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:842
header,1e,int1e_ipipnucip,<NABLA NABLA i|NUC |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1082
header,1e,int1e_ipipovlp,<NABLA NABLA i|OVLP |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:818
header,1e,int1e_ipippnucp,<P* NABLA NABLA i|NUC DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:896
header,1e,int1e_ipipprinvp,<P* NABLA NABLA i|RINV DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:908
header,1e,int1e_ipipr,<NABLA NABLA i|RC |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:866
header,1e,int1e_ipiprinv,<NABLA NABLA i|RINV |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:854
header,1e,int1e_ipiprinvip,<NABLA NABLA i|RINV |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1088
header,1e,int1e_ipiprinvipip,<NABLA NABLA i|RINV |NABLA NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1094
header,1e,int1e_ipiprinvrip,<NABLA NABLA i|RINV |R NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:1154
header,1e,int1e_ipipspnucsp,<NABLA NABLA SIGMA DOT P i|NUC SIGMA DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:920
header,1e,int1e_ipipsprinvsp,<NABLA NABLA SIGMA DOT P i|RINV SIGMA DOT P |j>,optimizer;cart;sph;spinor,include/cint_funcs.h:932
header,1e,int1e_ipkin,<NABLA i|OVLP |P DOT P j>,optimizer;cart;sph;spinor,include/cint_funcs.h:632
header,1e,int1e_ipkinip,<NABLA i|P DOT P |NABLA j>,optimizer;cart;sph;spinor,include/cint_funcs.h:836
